,song,album,album_id,artists,track_number,disc_number
7540,Helt Borte,Helt Borte,7EzqjCZl8OG0RTgsx8J9UR,['Pechenga'],7,1
7715,Tennessee Stomp,Tennessee Stomp,0A0uohuhu45hTyqwlgg0Ni,['Hillbilly Casino'],2,1
7775,Dragon,When The Dragon Is Finally Laid To Rest,2WsOKzDVQhnIcyjXdVJx3h,['One 21'],5,1
7807,The Constant Flame,The Constant Flame,7qnz7oV8TlEcP9nj4rPY4D,['Alex Cline Ensemble'],3,1
7921,Cider & Hennessy,Cider & Hennessy,7jYoJlj4s36tJTcVtdfqjC,['Jordin Sparks'],8,1
8002,Tear Off Your Own Head (It's A Doll Revolution),Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],1,1
8137,Infinite Things,Infinite Things (Deluxe Version),3g2kKcxwX4I7ttohCuZkkF,['Paloma Faith'],5,1
8181,Musique malsaine,Musique malsaine,7IoEiqM41f26yltG2TUxQR,['Saye'],1,1
8216,The New York Girls' Club,New York Girls' Club,2RgZWLUtMmQFrljGztP7L5,['Rebecca Pidgeon'],8,1
8231,Pay Me No Mind - Jeff Beck Remix,Jeff,5gxGwQJsqkapF39XVEbBWB,"['Jeff Beck', 'Me One', 'Jamie Maher']",10,1
8297,Black Market,Black Market Militia,06FuctispXWRjgfxYPQTTf,['Black Market Militia'],12,1
8351,Surf! Surf! Surf!,Surf! Surf! Surf!,1xrjIAra3hWS6SLAYO28XT,['Aqualads'],1,1
8384,Magma,Magma,7D7V6M05UIOTjLdqbwRX0w,['Gojira'],6,1
8498,As Long as There's Music,As Long as There's Music,6ECSQ7jSuGNom9necjOyre,['Richard Wyands'],2,1
8583,Martha's Dragon,Martha's Dragon,3pCqHEBKFltJKd8yvVNG1R,['Cantiga'],2,1
8621,Hardball,Hardball (Music From The Motion Picture),5LVI9MdD7IpCrAjFZALbZm,"[""Lil Bow Wow, Lil' Wayne, Lil' Zane & Sammie"", 'Bow Wow', 'Lil Wayne', ""Lil' Zane"", 'Sammie']",2,1
8638,The Red Shoes,The Red Shoes,72MmcinutOLOAMic13Edb6,['Kate Bush'],7,1
8652,Black Leather Soul,Black Leather Soul,6njeBe1KbMxnOpPztnU2io,['Angus Khan'],9,1
8661,Driving While Black,Driving While Black...,0QOavbxNjSaLKsyBeePNlZ,"['Bennie Maupin', 'Dr. Patrick Gleeson']",5,1
8878,Looking For Landmarks,Looking For Landmarks,6yhaboYsQfqpVD17HXl7nc,"['Two Loons For Tea', 'Matt Chamberlain', 'Sarah Scott', 'Jonathan Kochmer', 'Trey Gunn', 'Paul Bushnell', 'Mike Dillon']",2,1
8943,Love Is A Gas,Love Is A Gas,5uG5rHm600nISTGFd4fpAt,['Paul K. And The Weathermen'],12,1
8955,Horizon,Mission Horizon 2.0,4jc67nnlvkAJ4gWRitpj1e,['Rmb'],1,1
8977,Whiskey Cambodia,Whiskey Cambodia,3ET2EB73Zsr5x1R07qvAHW,['The Cambodian Space Project'],10,1
9094,'Tis so Sweet,'Tis so Sweet,3Gk672TjID18z7Gl7a9Zta,['Beth A. Wiehe'],5,1
9167,Lindy's Party,Lindy's Party,3uFe9eZ0duEyn07CgnCms9,['The Bolshoi'],10,1
9227,For The Cool In You,For The Cool In You,0PkkUYZMtKN25rvrt50EhX,['Babyface'],1,1
9239,For The Cool In You - Quiet Storm Vocal Mix,For The Cool In You,0PkkUYZMtKN25rvrt50EhX,['Babyface'],13,1
9241,For The Cool In You - Midnight Luv Instrumental Mix,For The Cool In You,0PkkUYZMtKN25rvrt50EhX,['Babyface'],15,1
9260,A Couple Friends,A Couple Friends,52xB5ZHyQpvTzihg72awra,['Kindred The Family Soul'],6,1
9281,Let the Blind Lead Those Who Can See But Cannot Feel,Let the Blind Lead Those Who Can See But Cannot Feel,6Vm5aiFcLIOZVD20H6bloK,['Atlas Sound'],14,1
9314,"Down Below the Waves (feat. Michael Elias, Joyce Sabato, Ron Spencer & St. Pete Shanties)",Down Below the Waves,2tRhh3aVuYoz8ltGLiBDjy,['Chris Kastle'],1,1
9333,The Unexplained,The Unexplained,5CYVndFVBDUo22RBVUXxAn,['Ataraxia'],8,1
9371,Blue Waltz,Blue Waltz,4ieAxUV4WFZj9imsPVehYa,"['Enrico Pieranunzi', 'Thomas Fonnesbæk']",2,1
9422,Microscopic View of a Telescopic Realm,Microscopic View of a Telescopic Realm,4KVb6yoPpyRw1hjDapAlMr,['Tourniquet'],3,1
9457,Love Thy Tiny Sums,Love Thy Tiny Sums,5SxMRtdDhtzDQV4f8NfaKL,['Lul'],1,1
9564,An Oncoming Train,An Oncoming Train,6a36Z6xjj9KRh6J2wuoHkK,['Downy Mildew'],1,1
9612,Cholymelan,Cholymelan,7lCBiX2b6B9PUdv67m03Nw,['Diary Of Dreams'],10,1
9620,Ayeshteni,Ayeshteni,6jh1Z1LrIk15IVIO5zceAH,['Natacha Atlas'],4,1
9766,Hometown Girl,Hometown Girl,0DVTHjL5KC4jPDwLSqNwff,['Mary Chapin Carpenter'],3,1
9774,Tcha Tcho Du Sorcier,Tcha Tcho,5Z5oTIue0SQv1unRwlTZo9,['Koffi Olomide'],1,1
9808,Superstar,Jesus Christ Superstar (20th Anniversary London Cast Recording (1992)),5ZTtXXgy3aPm1aEiOUuBuQ,"['Keith Burns', 'The Superstar Choir', 'The Sylvia Young Theatre School Choir']",10,2
9826,A Place In The World,A Place In The World,37MhL742wVTVtd3XbGJg1e,['Mary Chapin Carpenter'],12,1
9931,Oneiros,Oneiros,2oL5f4d8HSgbkn05xF2zLM,['Outputmessage'],8,1
9966,Lichtgestalt,Lichtgestalt,6Mnh7ZXlxVJg2LE8Eev7eU,['Lacrimosa'],3,1
9979,Harare To Kisangani,Harare To Kisangani,7DgduwljpJQF3kJsZg4d4q,['Balafon Marimba Ensemble'],7,1
9992,Shake,Shake,0C2NCJ6jAjZIhRxk6rXRYx,['Zucchero'],10,1
10008,The Blue Trees,The Blue Trees,7F7KSt7Fkpsmp2AoqSky4o,"[""Gorky's Zygotic Mynci""]",1,1
10028,The Big Picture,The Big Picture,58vmMA2sIwuJDxL1tmDgj3,['Uncle Rock'],12,1
10034,Canterbury Girls,Canterbury Girls,5BrJnMaEC3JUJwo1oWJmkN,['Lily & Madeleine'],4,1
10067,Stadtkind,Stadtkind,1R1AYOb2IPVFDzoQX4luyr,['Ellen Allien'],4,1
10154,What Are You Waiting For,What Are You Waiting For,0jC2TwdYJKp1H79VVOCzpr,['Krezip'],1,1
10253,Our Truth,Our Truth (feat. Ricardo Pena),4YT3jSohgxB49opVrPW5sZ,['Milestone'],11,1
10299,Return of the Boom Bap,Return of the Boom Bap,64ub4SfdC8wvPjdUXw8QY9,['KRS-One'],11,1
10304,Shake A Lil' Somethin',Shake A Lil' Somethin',3MVW3yL2HW0QXgrDxyjDro,['2 LIVE CREW'],2,1
10364,Lemon Juice,Lemon Juice,1vJB7KnliYIfbFI3YufBF8,"['Michael Heinzelmann', 'Jack Scannell']",10,1
